Feature,OLS_Importance,Ridge_Importance,Lasso_Importance,RF_Importance,Lasso_Selected
MS SubClass,0.007131785401210434,0.009340416039535993,0.0088996845286732,0.0026943890964117637,True
Lot Frontage,0.006780176590911322,0.0012889500794650668,0.0,0.004855170912151387,False
Lot Area,0.01769286992299347,0.011339301612486382,0.011328616689760113,0.013905708354246944,True
Overall Qual,0.07358813953612983,0.05877125070377289,0.09652558397460685,0.5842234755255057,True
Overall Cond,0.04436664125563827,0.031392418983080324,0.03895002587323857,0.007427066190694913,True
Year Built,0.05122848529895972,0.01832722771766914,0.04655711930127748,0.015308990050827137,True
Year Remod/Add,0.009824176492184044,0.016470923356810593,0.01456370471124954,0.010557046492109418,True
Mas Vnr Area,0.004355976124615586,0.003872770789121601,0.0,0.0029893751584957645,False
BsmtFin SF 1,1.236887926540009,0.014856895902985875,0.007818636139133769,0.01725044785671772,True
BsmtFin SF 2,0.46539899988308503,0.005886572475876056,0.00010422017993580535,0.0004664303999352787,True
Bsmt Unf SF,1.1644071215521725,0.004685571605378242,0.0,0.0056247906407796726,False
Total Bsmt SF,1.1326592426113158,0.02222917067473851,0.02137667019049444,0.030914645514917377,True
1st Flr SF,0.0336688050768028,0.02824641883510896,0.0,0.02854832752808339,False
2nd Flr SF,0.04803864484000808,0.02318908537784207,0.0,0.005332870396131503,False
Low Qual Fin SF,0.0016505811487210326,0.0005548246559760374,0.00038358004926754074,0.00012903860534082027,True
Gr Liv Area,0.0665031174798686,0.041234429693759664,0.11398403723631668,0.0896892701950889,True
Bsmt Full Bath,0.011374017155706302,0.01443872982509328,0.019560991681891685,0.0018259189232338417,True
Bsmt Half Bath,0.001706085840073996,0.0010871173046048859,0.0,0.00014972333151966132,False
Full Bath,0.013368595121515626,0.02117124490965622,0.012946232351566424,0.004984171590883953,True
Half Bath,0.006645600899534941,0.01035989675135131,0.0,0.0007131093692773598,False
Bedroom AbvGr,0.0046775117883513205,0.009742983951077549,0.0007971117830012428,0.0016364273193419556,True
Kitchen AbvGr,0.005038544134953794,0.007585913114250323,0.0035426591053096244,0.0020441762126884055,True
TotRms AbvGrd,0.00039099296307251947,0.01697723948644819,0.001819572795730333,0.0019723093353852133,True
Fireplaces,0.01564529446218124,0.021005572820754295,0.017924409411310953,0.002984378707953094,True
Garage Yr Blt,0.004544433900282209,0.004758836329780938,0.0006904041925731392,0.0037337831715376136,True
Garage Cars,0.028693619468938506,0.026468250486378797,0.03825111630532484,0.041879946320397314,True
Garage Area,0.005334987376855153,0.014081296448925914,0.0,0.04172570384910081,False
Wood Deck SF,0.006864057084949348,0.008861331096471971,0.006431125085697813,0.00267711253773062,True
Open Porch SF,0.0025275587003014133,0.004618973786053083,0.002681082194743849,0.0037901458101962243,True
Enclosed Porch,0.0083791759893828,0.006587391209979179,0.005258352480068693,0.0019097116267203361,True
3Ssn Porch,0.0043386039921511285,0.004132754429063444,0.0005448588871132591,5.097421997276302e-05,True
Screen Porch,0.014989682219171303,0.015170618076228522,0.014211502648825928,0.0009791851564261165,True
Pool Area,0.0046388007768050875,0.0016861997095290267,0.0015539869709991789,0.00012607084016443029,True
